"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","63,400.0","63,400.0","63,800.0","63,300.0","1.64M","0.16%"
"12/30/2024","63,300.0","63,600.0","63,700.0","63,300.0","1.49M","-0.78%"
"12/27/2024","63,800.0","63,900.0","64,100.0","63,700.0","2.44M","0.00%"
"12/26/2024","63,800.0","64,200.0","64,200.0","63,800.0","1.71M","-0.16%"
"12/25/2024","63,900.0","63,900.0","64,396.1","63,900.0","1.30M","0.16%"
"12/24/2024","63,800.8","63,900.0","64,197.7","63,602.3","1.29M","-0.16%"
"12/23/2024","63,900.0","64,197.7","64,495.3","63,800.8","1.35M","-0.92%"
"12/20/2024","64,495.3","63,503.1","64,495.3","63,503.1","3.80M","1.72%"
"12/19/2024","63,403.9","63,900.0","63,999.2","63,403.9","2.63M","-1.24%"
"12/18/2024","64,197.7","64,495.3","64,594.6","64,197.7","1.61M","0.15%"
"12/17/2024","64,098.4","64,396.1","64,495.3","63,999.2","1.20M","-0.62%"
"12/16/2024","64,495.3","63,701.6","64,693.8","63,701.6","2.39M","1.25%"
"12/13/2024","63,701.6","63,800.8","63,999.2","63,602.3","1.40M","-0.62%"
"12/12/2024","64,098.4","63,701.6","64,396.1","63,701.6","2.25M","0.62%"
"12/11/2024","63,701.6","63,403.9","64,098.4","63,403.9","2.02M","0.47%"
"12/10/2024","63,403.9","63,602.3","63,900.0","63,403.9","1.71M","-0.31%"
"12/09/2024","63,602.3","63,999.2","63,999.2","63,503.1","1.76M","0.00%"
"12/06/2024","63,602.3","63,999.2","64,296.9","63,602.3","1.68M","-0.31%"
"12/05/2024","63,800.8","63,007.0","64,197.7","62,709.3","2.22M","1.58%"
"12/04/2024","62,808.5","63,304.7","63,403.9","62,808.5","2.75M","-0.94%"
"12/03/2024","63,403.9","64,098.4","64,098.4","63,403.9","2.43M","-0.93%"
"12/02/2024","63,999.2","64,098.4","64,296.9","63,701.6","1.23M","-0.15%"
"11/29/2024","64,098.4","63,999.2","64,296.9","63,800.8","1.11M","0.16%"
"11/28/2024","63,999.2","64,495.3","64,495.3","63,999.2","1.27M","-0.15%"
"11/27/2024","64,098.4","64,296.9","64,495.3","63,999.2","1.59M","-0.31%"
"11/26/2024","64,296.9","63,999.2","64,495.3","63,900.0","1.68M","0.78%"
"11/25/2024","63,800.8","63,800.8","64,098.4","63,701.6","2.45M","0.00%"
"11/22/2024","63,800.8","63,403.9","64,296.9","63,403.9","2.18M","0.63%"
"11/21/2024","63,403.9","63,205.4","63,602.3","62,907.8","2.25M","0.47%"
"11/20/2024","63,106.2","62,510.9","63,304.7","62,411.6","2.82M","0.95%"
"11/19/2024","62,510.9","62,808.5","63,007.0","62,510.9","2.73M","-0.32%"
"11/18/2024","62,709.3","63,205.4","63,701.6","62,709.3","3.75M","-0.78%"
"11/15/2024","63,205.4","64,396.1","64,396.1","63,205.4","3.69M","-2.00%"
"11/14/2024","64,495.3","64,495.3","64,495.3","64,197.7","1.78M","0.00%"
"11/13/2024","64,495.3","64,594.6","65,090.7","64,197.7","2.77M","0.15%"
"11/12/2024","64,396.1","64,693.8","65,189.9","64,296.9","1.73M","-0.46%"
"11/11/2024","64,693.8","65,189.9","65,289.1","64,197.7","2.74M","-0.76%"
"11/08/2024","65,189.9","65,487.6","65,686.0","65,090.7","1.59M","-0.30%"
"11/07/2024","65,388.4","65,487.6","65,686.0","65,090.7","1.15M","0.15%"
"11/06/2024","65,289.1","65,487.6","65,487.6","64,793.0","2.59M","0.46%"
"11/05/2024","64,991.5","65,189.9","65,487.6","64,991.5","1.06M","-0.15%"
"11/04/2024","65,090.7","65,388.4","66,082.9","65,090.7","2.12M","-0.30%"
"11/01/2024","65,289.1","65,586.8","65,785.2","65,090.7","2.18M","-0.45%"
"10/31/2024","65,586.8","66,082.9","66,082.9","64,793.0","5.17M","-0.30%"
"10/30/2024","65,785.2","66,479.8","66,777.5","65,785.2","3.43M","-1.04%"
"10/29/2024","66,479.8","66,777.5","66,777.5","66,281.4","2.03M","-0.30%"
"10/28/2024","66,678.3","67,174.4","67,472.0","66,182.1","2.92M","-1.18%"
"10/25/2024","67,472.0","68,067.4","68,067.4","67,372.8","2.17M","-0.58%"
"10/24/2024","67,868.9","66,777.5","68,464.3","66,777.5","4.37M","1.63%"
"10/23/2024","66,777.5","66,777.5","67,075.2","66,678.3","1.64M","0.00%"
"10/22/2024","66,777.5","66,777.5","67,273.6","66,678.3","2.25M","0.00%"
"10/21/2024","66,777.5","66,876.7","67,372.8","66,678.3","1.86M","-0.15%"
"10/18/2024","66,876.7","67,075.2","67,472.0","66,876.7","1.60M","-0.30%"
"10/17/2024","67,075.2","67,075.2","67,372.8","66,777.5","1.66M","0.15%"
"10/16/2024","66,975.9","66,281.4","67,571.3","66,281.4","2.00M","1.05%"
"10/15/2024","66,281.4","66,678.3","66,876.7","66,182.1","3.07M","-0.60%"
"10/14/2024","66,678.3","67,571.3","67,571.3","66,579.0","2.82M","-0.74%"
"10/11/2024","67,174.4","67,571.3","67,670.5","66,975.9","2.37M","0.00%"
"10/10/2024","67,174.4","67,769.7","68,265.8","67,174.4","2.62M","-0.15%"
"10/09/2024","67,273.6","67,769.7","68,067.4","67,273.6","3.53M","-0.59%"
"10/08/2024","67,670.5","66,678.3","67,670.5","66,678.3","2.89M","1.64%"
"10/07/2024","66,579.0","68,166.6","68,762.0","66,579.0","5.99M","-2.04%"
"10/04/2024","67,968.2","69,952.6","69,952.6","67,868.9","6.13M","-2.56%"
"10/03/2024","69,754.2","69,655.0","69,952.6","69,357.3","2.95M","0.29%"
"10/02/2024","69,555.7","69,655.0","69,655.0","69,059.6","2.14M","0.00%"
"10/01/2024","69,555.7","69,655.0","70,151.1","69,555.7","2.04M","0.00%"
"09/30/2024","69,555.7","70,448.8","70,448.8","69,555.7","2.04M","-1.27%"
"09/27/2024","70,448.8","70,250.3","70,647.2","70,151.1","2.97M","0.42%"
"09/26/2024","70,151.1","69,059.6","70,548.0","69,059.6","3.98M","1.58%"
"09/25/2024","69,059.6","69,754.2","69,853.4","69,059.6","4.52M","-1.00%"
"09/24/2024","69,754.2","70,448.8","70,448.8","69,555.7","2.08M","-0.21%"
"09/23/2024","69,903.0","70,094.8","70,190.6","69,615.3","2.93M","0.28%"
"09/20/2024","69,711.2","70,478.3","70,957.8","69,711.2","5.23M","-0.82%"
"09/19/2024","70,286.5","70,286.5","70,478.3","69,998.9","1.57M","0.00%"
"09/18/2024","70,286.5","70,574.2","70,861.9","69,998.9","2.85M","-0.14%"
"09/17/2024","70,382.4","69,040.0","70,382.4","68,752.3","2.39M","2.09%"
"09/16/2024","68,944.1","69,998.9","69,998.9","68,944.1","4.03M","-1.37%"
"09/13/2024","69,903.0","71,724.9","71,724.9","69,903.0","5.35M","-2.41%"
"09/12/2024","71,629.0","71,916.6","72,108.4","71,341.3","2.05M","0.13%"
"09/11/2024","71,533.1","71,724.9","72,012.5","70,861.9","3.17M","-0.40%"
"09/10/2024","71,820.8","71,724.9","72,396.1","71,245.4","3.33M","0.13%"
"09/09/2024","71,724.9","72,012.5","72,012.5","71,149.5","2.64M","-0.80%"
"09/06/2024","72,300.2","71,820.8","72,396.1","71,724.9","3.64M","0.94%"
"09/05/2024","71,629.0","71,245.4","72,300.2","71,053.6","5.86M","0.54%"
"09/04/2024","71,245.4","70,286.5","71,437.2","70,094.8","2.84M","0.54%"
"08/30/2024","70,861.9","70,574.2","71,724.9","70,382.4","3.68M","0.54%"
"08/29/2024","70,478.3","70,670.1","70,957.8","70,382.4","2.04M","-0.54%"
"08/28/2024","70,861.9","70,574.2","70,957.8","70,190.6","3.35M","0.54%"
"08/27/2024","70,478.3","70,382.4","70,766.0","69,615.3","4.27M","0.14%"
"08/26/2024","70,382.4","71,820.8","71,916.6","70,286.5","6.32M","-2.00%"
"08/23/2024","71,820.8","71,820.8","72,492.0","71,341.3","3.31M","0.94%"
"08/22/2024","71,149.5","72,875.5","72,875.5","70,574.2","6.03M","-1.46%"
"08/21/2024","72,204.3","72,108.4","72,971.4","72,012.5","3.99M","-0.40%"
"08/20/2024","72,492.0","72,875.5","73,067.3","72,204.3","4.18M","-0.53%"
"08/19/2024","72,875.5","70,957.8","72,875.5","70,766.0","7.92M","2.98%"
"08/16/2024","70,766.0","70,957.8","71,053.6","70,190.6","7.39M","0.00%"
"08/15/2024","70,766.0","70,957.8","71,533.1","70,670.1","4.26M","-0.27%"
"08/14/2024","70,957.8","70,957.8","71,053.6","70,286.5","5.46M","0.27%"
"08/13/2024","70,766.0","69,807.1","71,341.3","69,711.2","6.73M","1.10%"
"08/12/2024","69,998.9","70,286.5","71,341.3","69,807.1","5.80M","-0.41%"
"08/09/2024","70,286.5","69,807.1","70,382.4","69,519.4","4.53M","0.83%"
"08/08/2024","69,711.2","70,861.9","71,341.3","69,231.8","5.81M","-1.49%"
"08/07/2024","70,766.0","70,190.6","70,766.0","69,423.5","10.70M","1.51%"
"08/06/2024","69,711.2","67,409.9","70,286.5","67,122.2","13.50M","4.75%"
"08/05/2024","66,546.9","68,081.1","68,272.9","65,683.9","12.16M","-2.94%"
"08/02/2024","68,560.5","67,122.2","68,944.1","67,122.2","10.29M","1.71%"
"08/01/2024","67,409.9","68,848.2","68,944.1","67,218.1","8.87M","-1.82%"
"07/31/2024","68,656.4","65,683.9","69,040.0","65,683.9","21.14M","5.76%"
"07/30/2024","64,916.8","64,533.2","65,588.0","64,149.6","6.38M","0.74%"
"07/29/2024","64,437.3","63,478.4","64,820.9","63,190.8","5.78M","2.13%"
"07/26/2024","63,094.9","62,711.3","63,478.4","62,711.3","2.98M","0.30%"
"07/25/2024","62,903.1","62,903.1","62,999.0","62,615.4","1.96M","0.00%"
"07/24/2024","62,903.1","63,094.9","63,382.5","62,903.1","3.61M","-0.46%"
"07/23/2024","63,190.8","62,903.1","63,574.3","62,807.2","3.78M","0.76%"
"07/22/2024","62,711.3","62,615.4","63,286.6","62,519.5","2.65M","0.15%"
"07/19/2024","62,615.4","63,190.8","63,190.8","62,423.6","3.39M","-0.91%"
"07/18/2024","63,190.8","63,286.6","63,286.6","62,807.2","2.28M","0.30%"
"07/17/2024","62,999.0","63,478.4","63,766.1","62,903.1","3.46M","-0.61%"
"07/16/2024","63,382.5","63,670.2","63,957.9","63,382.5","2.24M","-0.15%"
"07/15/2024","63,478.4","63,574.3","64,149.6","63,478.4","2.16M","-0.15%"
"07/12/2024","63,574.3","63,670.2","63,862.0","63,382.5","2.08M","0.00%"
"07/11/2024","63,574.3","64,149.6","64,245.5","63,574.3","3.79M","-0.75%"
